Name,Description,Alternate names,Roll-up dimensions,Category,Type,Phase,Persona,Sources,Data,Data-point Formula,Formulas,Example
Sprint Scope Stability,% of work items planned and committed in sprint but moved in or out after sprint started,,,Quality,Percentage,,Management,,,,,
"Actual delivery cost per Feature, Epic",Aggregates all delivery and fix costs broken down by Feature,,,Efficency,Money,,Exec,,,,,
Change fail rate,Captured is the number of application-related production incidents. This is used with Change Frequency to calculate Change Fail Rate.  Change Fail Rate measures the relationship between changes and outages in production.,,,Stability,1/Time,,Exec,,Capture # of application change related production incidents from Service Now Incident Report,,,
"Application Users (active, total)",Count of application users (logins),,,,Number,,Exec,,,,,
"Security Vulnerabilities (total, grouped by Level)",Counts the vulnerabilities found by scanning tools,,,Quality,Number,,Exec,,Count of unique vulnerabilities found by Severity Level,,,
Backlog Quality - Data Integrity,Data validation of backlog tool across several layers of work items - what % Data Flags,,,Quality,Percentage,,Management,,,,,
Deployment lead time,From Feature complete to deployed,,,Speed,Time,,Management,,,,,
Recovery Time (MTTR),"Mean Time to Recover measures the time from when a failure occurs, to recovery from that failure. ",,,Stability,Time,,Exec,,"Capture three metrics P1, P2 and aggregate of P1-P4 incidents.",,,
Deployment frequency,Measures frequency of changes to production,,,Speed,1/Time,,Exec,,Capture # of production changes from Service Now Application Change Report,,,
Test Effectiveness,Measures how many bugs slipped through testing (either manual or automated) and was later found in Production,Test Effectiveness Using Defect Containment efficiency,,Quality,,,Exec,,,,Number of Bugs fixed / (Total number of bugs found in unit+integration+system testing + number of Bugs found after Release),
Incidents (Bugs) found after Release,"Measures the overall quality of a Release, especially of the testing process","Defect escape rate, Defect Leakage",,Quality,Ratio,,Exec,,Count the incidents associated with the CI after the deployment of a new Release,,Compare the Incident count with the total number of test executed,
Code Maintainability,Measures the quality of code captured by Code Smell issues,,,Quality,Grade,,Management,,Use Sonar out-of-the-box metric based on SQALE,,,
Integration Tests vs Unit ratio,"Measures the quality of test effort, the lower the ratio the better",,,Quality,Ratio,,Management,,"Total number of tests can be easily extracted from tools, classification requires help from development team.",,,
UI vs Integration Tests ratio,"Measures the quality of test effort, the lower the ratio the better (Selenium tests are UI by default)",,,Quality,Ratio,,Management,,"Total number of tests can be easily extracted from tools, classification requires help from development team.",,,
Feature Lead Time,"Measures the time it takes for work to be implemented, tested and delivered to production",Cycle time,,Speed,Time (days),,Exec,,"Start: Time when Feature moves to InProgress status
Finish: Time when ServiceNow Change Request moves to Closed status",Finish - Start,moving average,
User Story Lead Time (days),"Measures the time it takes for work to be implemented, tested and delivered to production",,,Speed,Time (days),,Management,,"Start: Time when Story moves to InProgress status
Finish: Time when ServiceNow Change Request moves to Closed status",Finish - Start,moving average,
# of Sprints of Work Ready,Number of sprints of work under the initiative backlog that is immediately actionable by teams,,,Quality,Number,,Management,,,,,
Availability (% uptime),Percentage of time the application is available to its users excluding agreed maintenance,,,Stability,Percentage,,Exec,,"When application has a user-level monitoring, use the downtime/uptime metrics from the tool.
Otherwise use the first and last Alerts from monitoring tool to determine the downtime period.",,,
Code Releasability,Releasability is based on the project's quality gate: Passed is releasable and Failed is not.,,,Quality,Grade,,Management,,Use Sonar out-of-the-box metric based on SQALE,,,
Cost of running the Application,"Total cost of infrastructure resources (hardware, licenses) and support resources (people)",,,Efficency,Money,,Exec,,,,,
Code Reliability,"Weights the known Bugs according to their rating: the worse the bugs, the less reliable",,,Quality,Grade,,Management,,Use Sonar out-of-the-box metric based on SQALE,,,
"Estimated run cost (Journey, Application)",,,,Efficency,Money,,Exec,,,,,
"Development cost per Feature, Epic",,,,Efficency,Money,,Exec,,,,,
Estimated development cost per Epic,,,,Efficency,Money,,Management,,,,,
"Code coverage (all, new code, by test type)",,,,Quality,Percentage,,Exec,,,,,
Manual vs Automated Tests ratio,,,,Quality,Ratio,,Management,,,,,
"Test environment lead time (average, peak, stddev, by Type)",,,,Quality,,,Management,,,,,
"Manual test duration (average, peak, stddev)",,,,Quality,,,Management,,,,,
"Automated test duration (average, peak, stddev)",,,,Quality,,,Management,,,,,
